,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
536,20,60,1228,Male,Major Cities of Australia,54,2021,4,1
537,22,80,1348,Male,Major Cities of Australia,19,2021,4,1
538,21,50,1270,Male,Inner Regional Australia,23,2021,4,2
539,13,50,780,Female,Major Cities of Australia,87,2021,4,1
540,5,100,300,Female,Remote Australia,38,2021,4,1
541,8,60,516,Female,Inner Regional Australia,61,2021,4,1
542,21,110,1265,Female,Major Cities of Australia,21,2021,4,1
543,10,60,643,Male,Major Cities of Australia,93,2021,4,1
544,17,60,1067,Male,Major Cities of Australia,15,2021,4,1
545,19,100,1140,Male,Outer Regional Australia,35,2021,3,1
546,4,100,280,Male,Major Cities of Australia,26,2021,3,1
547,19,100,1140,Male,Major Cities of Australia,53,2021,3,2
549,18,50,1120,Male,Major Cities of Australia,23,2021,3,1
550,2,50,175,Male,Major Cities of Australia,23,2021,3,1
551,1,80,68,Male,Major Cities of Australia,19,2021,3,2
552,2,80,145,Male,Inner Regional Australia,20,2021,3,1
553,2,70,120,Male,Outer Regional Australia,50,2021,3,2
555,18,70,1112,Female,Major Cities of Australia,14,2021,3,1
556,1,80,60,Male,Major Cities of Australia,55,2021,3,2
557,1,100,109,Male,Outer Regional Australia,28,2021,3,1
558,4,70,260,Male,Major Cities of Australia,62,2021,3,1
559,19,100,1155,Female,Major Cities of Australia,47,2021,3,2
560,22,100,1320,Male,Outer Regional Australia,29,2021,3,2
561,12,100,720,Female,Inner Regional Australia,32,2021,3,1
562,17,100,1055,Male,Inner Regional Australia,39,2021,3,1
563,16,100,960,Male,Outer Regional Australia,63,2021,3,1
564,11,100,660,Female,Outer Regional Australia,53,2021,3,2
566,12,110,730,Female,Very Remote Australia,57,2021,3,2
